data,Tipo de leito,Tipo de agravo,Número de leitos infantil ativos,Número de leitos infantil ocupados,Taxa de ocupação (%) de leitos infantil,Média móvel do número de crianças internadas,Média móvel do número de leitos para crianças ativos
2020-04-29,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),7.0,0.0,0.0,0.0,0.0
2020-04-30,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),106.0,31.0,29.25,0.0,0.0
2020-05-01,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),156.0,70.0,44.87,0.0,0.0
2020-05-02,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),157.0,76.0,48.41,0.0,0.0
2020-05-03,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),157.0,75.0,47.77,0.0,0.0
2020-05-04,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),152.0,81.0,53.29,0.0,0.0
2020-05-05,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),158.0,62.0,39.24,56.4,127.6
2020-05-06,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),85.0,36.0,42.35,61.6,138.7
2020-05-07,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),153.0,60.0,39.22,65.7,145.4
2020-05-08,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),176.0,80.0,45.45,67.1,148.3
2020-05-09,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),168.0,55.0,32.74,64.1,149.9
2020-05-10,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),168.0,61.0,36.31,62.1,151.4
2020-05-11,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),173.0,63.0,36.42,59.6,154.4
2020-05-12,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),168.0,55.0,32.74,58.6,155.9
2020-05-13,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),199.0,70.0,35.18,63.4,172.1
2020-05-14,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),203.0,71.0,34.98,65.0,179.3
2020-05-15,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),197.0,68.0,34.52,63.3,182.3
2020-05-16,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),209.0,73.0,34.93,65.9,188.1
2020-05-17,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),209.0,58.0,27.75,65.4,194.0
2020-05-18,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),216.0,57.0,26.39,64.6,200.1
2020-05-19,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),220.0,55.0,25.0,64.6,207.6
2020-05-20,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),216.0,58.0,26.85,62.9,210.0
2020-05-21,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),217.0,60.0,27.65,61.3,212.0
2020-05-22,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),215.0,68.0,31.63,61.3,214.6
2020-05-23,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),208.0,66.0,31.73,60.3,214.4
2020-05-24,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),202.0,73.0,36.14,62.4,213.4
2020-05-25,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),201.0,79.0,39.3,65.6,211.3
2020-05-26,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),218.0,26.0,11.93,61.4,211.0
2020-05-27,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),196.0,64.0,32.65,62.3,208.1
2020-05-28,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),207.0,71.0,34.3,63.9,206.7
2020-05-29,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),228.0,75.0,32.89,64.9,208.6
2020-05-30,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),224.0,72.0,32.14,65.7,210.9
2020-05-31,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),224.0,79.0,35.27,66.6,214.0
2020-06-01,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),224.0,63.0,28.12,64.3,217.3
2020-06-02,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),231.0,75.0,32.47,71.3,219.1
2020-06-03,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),221.0,68.0,30.77,71.9,222.7
2020-06-04,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),210.0,66.0,31.43,71.1,223.1
2020-06-05,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),231.0,74.0,32.03,71.0,223.6
2020-06-06,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),212.0,57.0,26.89,68.9,221.9
2020-06-07,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),227.0,74.0,32.6,68.1,222.3
2020-06-08,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),229.0,79.0,34.5,70.4,223.0
2020-06-09,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),243.0,96.0,39.51,73.4,224.7
2020-06-10,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),232.0,78.0,33.62,74.9,226.3
2020-06-11,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),246.0,100.0,40.65,79.7,231.4
2020-06-12,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),224.0,89.0,39.73,81.9,230.4
2020-06-13,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),221.0,77.0,34.84,84.7,231.7
2020-06-14,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),220.0,82.0,37.27,85.9,230.7
2020-06-15,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),245.0,99.0,40.41,88.7,233.0
2020-06-16,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),226.0,85.0,37.61,87.1,230.6
2020-06-17,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),242.0,90.0,37.19,88.9,232.0
2020-06-18,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),246.0,88.0,35.77,87.1,232.0
2020-06-19,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),253.0,86.0,33.99,86.7,236.1
2020-06-20,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),226.0,76.0,33.63,86.6,236.9
2020-06-21,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),228.0,69.0,30.26,84.7,238.0
2020-06-22,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),232.0,78.0,33.62,81.7,236.1
2020-06-23,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),218.0,49.0,22.48,76.6,235.0
2020-06-24,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),247.0,82.0,33.2,75.4,235.7
2020-06-25,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),235.0,91.0,38.72,75.9,234.1
2020-06-26,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),245.0,94.0,38.37,77.0,233.0
2020-06-27,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),232.0,81.0,34.91,77.7,233.9
2020-06-28,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),234.0,78.0,33.33,79.0,234.7
2020-06-29,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),235.0,84.0,35.74,79.9,235.1
2020-06-30,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),252.0,77.0,30.56,83.9,240.0
2020-07-01,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),230.0,72.0,31.3,82.4,237.6
2020-07-02,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),233.0,85.0,36.48,81.6,237.3
2020-07-03,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),231.0,84.0,36.36,80.1,235.3
2020-07-04,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),226.0,84.0,37.17,80.6,234.4
2020-07-05,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),236.0,90.0,38.14,82.3,234.7
2020-07-06,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),232.0,87.0,37.5,82.7,234.3
2020-07-07,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),235.0,90.0,38.3,84.6,231.9
2020-07-08,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),219.0,76.0,34.7,85.1,230.3
2020-07-09,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),228.0,73.0,32.02,83.4,229.6
2020-07-10,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),234.0,73.0,31.2,81.9,230.0
2020-07-11,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),230.0,79.0,34.35,81.1,230.6
2020-07-12,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),221.0,85.0,38.46,80.4,228.4
2020-07-13,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),256.0,80.0,31.25,79.4,231.9
2020-07-14,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),245.0,81.0,33.06,78.1,233.3
2020-07-15,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),235.0,79.0,33.62,78.6,235.6
2020-07-16,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),247.0,97.0,39.27,82.0,238.3
2020-07-17,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),212.0,61.0,28.77,80.3,235.1
2020-07-18,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),230.0,96.0,41.74,82.7,235.1
2020-07-19,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),221.0,86.0,38.91,82.9,235.1
2020-07-20,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),228.0,98.0,42.98,85.4,231.1
2020-07-21,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),229.0,103.0,44.98,88.6,228.9
2020-07-22,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),234.0,105.0,44.87,92.3,228.7
2020-07-23,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),239.0,97.0,40.59,92.3,227.6
2020-07-24,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),224.0,92.0,41.07,96.7,229.3
2020-07-25,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),216.0,99.0,45.83,97.1,227.3
2020-07-26,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),221.0,105.0,47.51,99.9,227.3
2020-07-27,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),227.0,103.0,45.37,100.6,227.1
2020-07-28,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),220.0,91.0,41.36,98.9,225.9
2020-07-29,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),216.0,81.0,37.5,95.4,223.3
2020-07-30,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),210.0,75.0,35.71,92.3,219.1
2020-07-31,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),189.0,59.0,31.22,87.6,214.1
2020-08-01,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),200.0,70.0,35.0,83.4,211.9
2020-08-02,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),195.0,70.0,35.9,78.4,208.1
2020-08-03,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),207.0,77.0,37.2,74.7,205.3
2020-08-04,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),193.0,76.0,39.38,72.6,201.4
2020-08-05,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),210.0,77.0,36.67,72.0,200.6
2020-08-06,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),197.0,65.0,32.99,70.6,198.7
2020-08-07,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),195.0,64.0,32.82,71.3,199.6
2020-08-08,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),185.0,61.0,32.97,70.0,197.4
2020-08-09,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),169.0,62.0,36.69,68.9,193.7
2020-08-10,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),195.0,57.0,29.23,66.0,192.0
2020-08-11,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),199.0,64.0,32.16,64.3,192.9
2020-08-12,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),196.0,59.0,30.1,61.7,190.9
2020-08-13,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),200.0,64.0,32.0,61.6,191.3
2020-08-14,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),200.0,56.0,28.0,60.4,192.0
2020-08-15,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),184.0,49.0,26.63,58.7,191.9
2020-08-16,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),192.0,51.0,26.56,57.1,195.1
